epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.289017,0.585714,1.805557,0.237037,0.001,3.932
2,0.75408,0.77381,0.744878,0.7,0.001,3.8264
3,0.506708,0.829365,0.486315,0.837037,0.001,3.7202
4,0.363134,0.896032,0.354097,0.896296,0.001,8.5978
5,0.294414,0.909524,0.267024,0.933333,0.001,10.0968
6,0.321088,0.889683,0.273459,0.892593,0.001,9.9392
7,0.206946,0.934127,0.464979,0.833333,0.001,9.7904
8,0.221252,0.930952,0.389478,0.848148,0.0005,6.8027
9,0.186921,0.935714,0.147858,0.940741,0.0005,5.1199
10,0.1615,0.945238,0.123196,0.951852,0.0005,4.2879
11,0.148541,0.953175,0.130676,0.955556,0.0005,4.3406
12,0.118188,0.97381,0.115861,0.959259,0.0005,4.0507
13,0.122102,0.966667,0.247491,0.9,0.0005,4.0202
14,0.135533,0.954762,0.14363,0.944444,0.0005,3.8698
15,0.117346,0.965079,0.170708,0.944444,0.00025,4.1768
16,0.104998,0.961905,0.083458,0.966667,0.00025,4.207
17,0.1139,0.961111,0.066964,0.974074,0.00025,4.0897
18,0.102416,0.965873,0.076976,0.97037,0.00025,4.6602
19,0.087363,0.97619,0.083959,0.962963,0.00025,4.2894
20,0.10641,0.96746,0.097141,0.966667,0.000125,4.1183
